Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
9836,prisoner,prisoner,2.86,1.85
9835,mourns,mourns,2.86,1.94
9834,lonely,lonely,2.86,1.51
9833,illegal,illegal,2.86,1.37
9832,errors,errors,2.86,0.97
9831,complaint,complaint,2.86,1.01
9830,bombs,bombs,2.86,2.27
9829,sins,sins,2.88,1.32
9828,threats,threats,2.88,1.77
9827,dislike,dislike,2.88,1.12
9826,cancelled,cancelled,2.88,1.15
9825,burning,burning,2.88,1.49
9824,banned,banned,2.88,1.29
9823,badly,badly,2.88,1.61
9822,drown,drown,2.9,2.09
9821,disrespect,disrespect,2.9,1.78
9820,deadly,deadly,2.9,1.82
9819,ouch,ouch,2.9,1.67
9818,impossible,impossible,2.9,1.27
9817,frustrated,frustrated,2.9,1.61
9816,fake,fake,2.9,1.25
9815,debt,debt,2.9,1.66
9814,complained,complained,2.9,0.99
9813,collapse,collapse,2.9,1.45
9812,burned,burned,2.9,1.42
9811,bruised,bruised,2.9,1.75
9810,boring,boring,2.9,1.15
9809,demon,demon,2.92,1.96
9808,sleepless,sleepless,2.92,1.55
9807,riot,riot,2.92,1.76
9806,problems,problems,2.92,1.56
9805,mistakes,mistakes,2.92,1.45
9804,hangover,hangover,2.92,1.71
9803,cries,cries,2.92,1.59
9802,burn,burn,2.92,1.34
9801,awful,awful,2.92,1.94
9800,accused,accused,2.92,1.55
9799,bury,bury,2.93,1.53
9798,breakdown,breakdown,2.94,1.36
9797,weakness,weakness,2.94,1.53
9796,unfortunate,unfortunate,2.94,1.46
9795,thug,thug,2.94,1.6
9794,thief,thief,2.94,2.21
9793,tension,tension,2.94,1.58
9792,sore,sore,2.94,1.33
9791,nervous,nervous,2.94,1.33
9790,foul,foul,2.94,1.33
9789,explosion,explosion,2.94,1.6
9788,choking,choking,2.94,1.88
9787,cemetery,cemetery,2.94,1.71
9786,bloody,bloody,2.94,1.7
9785,wound,wound,2.96,1.68
9784,screaming,screaming,2.96,1.52
9783,niggas,niggas,2.96,2.07
9782,lawsuit,lawsuit,2.96,1.62
9781,damages,damages,2.96,1.37
9780,conflicts,conflicts,2.96,1.46
9779,coffin,coffin,2.96,1.99
9778,insecure,insecure,2.98,1.13
9777,worthless,worthless,2.98,1.91
9776,problem,problem,2.98,1.41
9775,niggaz,niggaz,2.98,2.13
9774,missing,missing,2.98,1.38
9773,ignorance,ignorance,2.98,1.36
9772,guns,guns,2.98,2.02
9771,damn,damn,2.98,1.62
9770,crappy,crappy,2.98,1.66
9769,confused,confused,2.98,1.29
9768,battle,battle,2.98,1.73
9767,vicious,vicious,3,1.93
9766,muthafuckin,muthafuckin,3,2.31
9765,fights,fights,3,1.37
9764,condemned,condemned,3,1.73
9763,bitter,bitter,3,1.25
9762,argues,argues,3,1.68
9761,argue,argue,3,1.54
9760,trembling,trembling,3.02,1.3
9759,offensive,offensive,3.02,1.56
9758,criticized,criticized,3.02,1.57
9757,broken,broken,3.02,1.41
9756,weeping,weeping,3.02,1.82
9755,hostile,hostile,3.02,1.97
9754,fiend,fiend,3.02,1.55
9753,anxiety,anxiety,3.03,1.89
9752,scare,scare,3.04,1.56
9751,resignation,resignation,3.04,1.26
9750,rat,rat,3.04,1.86
9749,lawsuits,lawsuits,3.04,1.7
9748,jealousy,jealousy,3.04,1.55
9747,insane,insane,3.04,1.73
9746,horror,horror,3.04,2
9745,complaints,complaints,3.04,1.32
9744,bored,bored,3.04,1.19
9743,bled,bled,3.04,1.59
9742,arguments,arguments,3.04,1.52
9741,havoc,havoc,3.04,1.68
9740,greedy,greedy,3.04,2.03
9739,rotting,rotting,3.04,1.53
9738,turmoil,turmoil,3.06,1.63
9737,refugees,refugees,3.06,1.66
9736,inadequate,inadequate,3.06,1.33
9735,idiots,idiots,3.06,1.61
9734,idiot,idiot,3.06,1.53
9733,greed,greed,3.06,1.92
9732,emergency,emergency,3.06,1.78
9731,dumb,dumb,3.06,0.96
9730,bullets,bullets,3.06,1.96
